,Bal,Brick,Dist,Flat URL,Floor,Kitsp,Livesp,Metrdist,N,New,Nfloor,Price,Rooms,Tel,Totsp,Walk
2824,1.0,1,13.948495731346004,149775423,5,6.0,19.4,29.0,2824,0,9.0,4400000.0,1,1.0,33.0,1.0
2825,,0,11.233551653961982,150278439,1,6.0,21.4,14.0,2825,0,9.0,4400000.0,1,1.0,31.7,1.0
2826,1.0,0,13.53193389410331,143310483,9,7.0,20.9,10.0,2826,0,9.0,4450000.0,1,1.0,34.7,0.0
2827,1.0,1,10.195469450725366,149136079,3,5.4,20.1,,2827,0,5.0,4500000.0,1,,32.7,
2828,2.0,0,12.275804957514234,49305754,10,8.0,43.0,3.0,2828,0,10.0,10900000.0,3,1.0,63.6,1.0
2829,,1,6.97174263854846,151085202,3,13.0,15.1,,2829,0,16.0,11950000.0,1,,44.2,
2830,2.0,0,17.854571851476653,49927783,6,13.0,34.0,,2830,0,17.0,9000000.0,2,0.0,60.0,
2831,,0,12.427665933606768,151016778,1,,40.0,10.0,2831,0,9.0,2950000.0,9,1.0,45.0,1.0
2832,1.0,1,7.086259697243996,150692460,5,2.0,9.0,15.0,2832,0,5.0,3050000.0,1,1.0,13.0,1.0
2833,,1,12.20594594284722,148985302,3,1.0,9.0,5.0,2833,0,5.0,3300000.0,1,1.0,13.3,1.0
2834,,1,13.118359137153845,43369704,5,2.0,13.0,12.0,2834,0,6.0,3600000.0,1,,15.0,1.0
